Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
1064,NZDUSD,Sell,11.11.2024 05:15:00,0.59747,0.1,11.11.2024 23:45:00,0.5962,18h 30m,12.2,1052.1,-0.5,12.2,1052.1,12.7,1319.1,0.11,10.2,Strategy 2.6.180,IS
1066,NZDUSD,Sell,13.11.2024 03:30:00,0.59261,0.1,13.11.2024 17:06:40,0.58961,13h 36m,29.5,1081.6,-0.5,29.5,1081.6,30,1349.1,0.27,10.47,tp 0.58961,IS
1068,NZDUSD,Sell,14.11.2024 16:30:00,0.58766,0.1,14.11.2024 22:06:40,0.58466,5h 36m,29.5,1111.1,-0.5,29.5,1111.1,30,1379.1,0.27,10.73,tp 0.58466,IS
1070,NZDUSD,Sell,15.11.2024 04:15:00,0.58567,0.1,15.11.2024 23:45:00,0.58623,19h 30m,-6.1,1105,-0.5,-6.1,1105,-5.6,1373.5,-0.05,10.68,Strategy 2.6.180,IS
1072,NZDUSD,Sell,18.11.2024 15:45:00,0.58481,0.1,18.11.2024 23:45:00,0.58946,8h 0m,-47,1058,-0.5,-47,1058,-46.5,1327,-0.42,10.25,Strategy 2.6.180,IS
1074,NZDUSD,Sell,19.11.2024 06:00:00,0.58981,0.1,19.11.2024 23:45:00,0.59136,17h 45m,-16,1042,-0.5,-16,1042,-15.5,1311.5,-0.14,10.11,Strategy 2.6.180,IS
1076,NZDUSD,Sell,21.11.2024 03:15:00,0.58831,0.1,21.11.2024 18:45:40,0.58531,15h 30m,29.5,1071.5,-0.5,29.5,1071.5,30,1341.5,0.27,10.38,tp 0.58531,IS
1078,NZDUSD,Sell,22.11.2024 10:15:00,0.58437,0.1,22.11.2024 23:45:00,0.5833,13h 30m,10.2,1081.7,-0.5,10.2,1081.7,10.7,1352.2,0.09,10.47,Strategy 2.6.180,IS
1080,NZDUSD,Sell,25.11.2024 08:45:00,0.58606,0.1,25.11.2024 23:45:00,0.58456,15h 0m,14.5,1096.2,-0.5,14.5,1096.2,15,1367.2,0.13,10.6,Strategy 2.6.180,IS
1082,NZDUSD,Sell,27.11.2024 15:45:00,0.58947,0.1,27.11.2024 23:45:00,0.58959,8h 0m,-1.7,1094.5,-0.5,-1.7,1094.5,-1.2,1366,-0.02,10.58,Strategy 2.6.180,IS
1084,NZDUSD,Sell,29.11.2024 16:00:00,0.59162,0.1,29.11.2024 23:45:00,0.5925,7h 45m,-9.3,1085.2,-0.5,-9.3,1085.2,-8.8,1357.2,-0.08,10.5,Strategy 2.6.180,IS
1086,NZDUSD,Sell,02.12.2024 08:15:00,0.58997,0.1,02.12.2024 16:46:20,0.58697,8h 31m,29.5,1114.7,-0.5,29.5,1114.7,30,1387.2,0.27,10.77,tp 0.58697,IS
1088,NZDUSD,Sell,04.12.2024 17:15:00,0.58524,0.1,04.12.2024 23:45:00,0.58547,6h 30m,-2.8,1111.9,-0.5,-2.8,1111.9,-2.3,1384.9,-0.03,10.74,Strategy 2.6.180,IS
1090,NZDUSD,Sell,06.12.2024 15:45:00,0.58718,0.1,06.12.2024 17:05:40,0.58418,1h 20m,29.5,1141.4,-0.5,29.5,1141.4,30,1414.9,0.27,11.01,tp 0.58418,IS
1092,NZDUSD,Sell,09.12.2024 09:30:00,0.58209,0.1,09.12.2024 23:45:00,0.58658,14h 15m,-45.4,1096,-0.5,-45.4,1096,-44.9,1370,-0.41,10.6,Strategy 2.6.180,IS
1094,NZDUSD,Sell,10.12.2024 21:15:00,0.58037,0.1,10.12.2024 23:45:00,0.58009,2h 30m,2.3,1098.3,-0.5,2.3,1098.3,2.8,1372.8,0.02,10.62,Strategy 2.6.180,IS
1096,NZDUSD,Sell,11.12.2024 05:15:00,0.58061,0.1,11.12.2024 09:10:20,0.57761,3h 55m,29.5,1127.8,-0.5,29.5,1127.8,30,1402.8,0.27,10.89,tp 0.57761,IS
1098,NZDUSD,Sell,12.12.2024 03:00:00,0.57987,0.1,12.12.2024 21:30:40,0.57687,18h 30m,29.5,1157.3,-0.5,29.5,1157.3,30,1432.8,0.27,11.15,tp 0.57687,IS
1100,NZDUSD,Sell,13.12.2024 14:45:00,0.5773,0.1,13.12.2024 23:45:00,0.57609,9h 0m,11.6,1168.9,-0.5,11.6,1168.9,12.1,1444.9,0.1,11.25,Strategy 2.6.180,IS
1102,NZDUSD,Sell,16.12.2024 06:15:00,0.57784,0.1,16.12.2024 23:45:00,0.57803,17h 30m,-2.4,1166.5,-0.5,-2.4,1166.5,-1.9,1443,-0.02,11.23,Strategy 2.6.180,IS
1104,NZDUSD,Sell,17.12.2024 16:00:00,0.57646,0.1,17.12.2024 23:45:00,0.57553,7h 45m,8.8,1175.3,-0.5,8.8,1175.3,9.3,1452.3,0.08,11.31,Strategy 2.6.180,IS
1106,NZDUSD,Sell,18.12.2024 08:45:00,0.57459,0.1,18.12.2024 21:00:40,0.57159,12h 15m,29.5,1204.8,-0.5,29.5,1204.8,30,1482.3,0.26,11.58,tp 0.57159,IS
1108,NZDUSD,Sell,19.12.2024 08:30:00,0.56334,0.1,19.12.2024 23:45:00,0.56302,15h 15m,2.7,1207.5,-0.5,2.7,1207.5,3.2,1485.5,0.02,11.6,Strategy 2.6.180,IS
1110,NZDUSD,Sell,20.12.2024 08:45:00,0.56332,0.1,20.12.2024 23:45:00,0.56545,15h 0m,-21.8,1185.7,-0.5,-21.8,1185.7,-21.3,1464.2,-0.19,11.41,Strategy 2.6.180,IS
1112,NZDUSD,Sell,27.12.2024 10:15:00,0.56365,0.1,27.12.2024 23:45:00,0.56323,13h 30m,3.7,1189.4,-0.5,3.7,1189.4,4.2,1468.4,0.03,11.44,Strategy 2.6.180,IS
1114,NZDUSD,Sell,02.01.2025 03:15:00,0.56073,0.1,02.01.2025 23:45:00,0.5596,20h 30m,10.8,1200.2,-0.5,10.8,1200.2,11.3,1479.7,0.1,11.53,Strategy 2.6.180,IS
1116,NZDUSD,Sell,03.01.2025 07:45:00,0.56098,0.1,03.01.2025 23:45:00,0.56114,16h 0m,-2.1,1198.1,-0.5,-2.1,1198.1,-1.6,1478.1,-0.02,11.52,Strategy 2.6.180,IS
1118,NZDUSD,Sell,06.01.2025 10:30:00,0.56342,0.1,06.01.2025 23:45:00,0.56441,13h 15m,-10.4,1187.7,-0.5,-10.4,1187.7,-9.9,1468.2,-0.09,11.42,Strategy 2.6.180,IS
1120,NZDUSD,Sell,07.01.2025 03:00:00,0.56455,0.1,07.01.2025 23:45:30,0.56366,20h 45m,8.4,1196.1,-0.5,8.4,1196.1,8.9,1477.1,0.08,11.5,Strategy 2.6.180,IS
1122,NZDUSD,Sell,08.01.2025 07:30:00,0.56354,0.1,08.01.2025 13:26:40,0.56054,5h 56m,29.5,1225.6,-0.5,29.5,1225.6,30,1507.1,0.26,11.76,tp 0.56054,IS
1124,NZDUSD,Sell,09.01.2025 15:30:00,0.55988,0.1,10.01.2025 00:05:00,0.55988,8h 35m,-0.55,1225.05,-0.55,-0.55,1225.05,0,1507.1,-0,11.76,Strategy 2.6.180,IS
1126,NZDUSD,Sell,10.01.2025 14:30:00,0.55852,0.1,10.01.2025 15:30:40,0.55552,1h 0m,29.5,1254.55,-0.5,29.5,1254.55,30,1537.1,0.26,12.02,tp 0.55552,IS
1128,NZDUSD,Sell,13.01.2025 10:15:00,0.55625,0.1,13.01.2025 23:45:00,0.55766,13h 30m,-14.6,1239.95,-0.5,-14.6,1239.95,-14.1,1523,-0.13,11.89,Strategy 2.6.180,IS
1130,NZDUSD,Sell,14.01.2025 09:00:00,0.56136,0.1,14.01.2025 23:45:00,0.56046,14h 45m,8.5,1248.45,-0.5,8.5,1248.45,9,1532,0.08,11.97,Strategy 2.6.180,IS
1132,NZDUSD,Sell,15.01.2025 09:45:00,0.56107,0.1,15.01.2025 23:45:00,0.56179,14h 0m,-7.7,1240.75,-0.5,-7.7,1240.75,-7.2,1524.8,-0.07,11.9,Strategy 2.6.180,IS
1134,NZDUSD,Sell,24.01.2025 17:15:00,0.57135,0.1,24.01.2025 23:45:00,0.57131,6h 30m,-0.1,1240.65,-0.5,-0.1,1240.65,0.4,1525.2,-0,11.9,Strategy 2.6.180,IS
1136,NZDUSD,Sell,28.01.2025 17:30:00,0.56618,0.1,28.01.2025 23:45:00,0.56672,6h 15m,-5.9,1234.75,-0.5,-5.9,1234.75,-5.4,1519.8,-0.05,11.84,Strategy 2.6.180,IS
1138,NZDUSD,Sell,29.01.2025 17:45:00,0.56529,0.1,29.01.2025 23:45:00,0.56558,6h 0m,-3.4,1231.35,-0.5,-3.4,1231.35,-2.9,1516.9,-0.03,11.81,Strategy 2.6.180,IS
1140,NZDUSD,Sell,30.01.2025 11:00:00,0.56509,0.1,30.01.2025 23:45:00,0.56342,12h 45m,16.2,1247.55,-0.5,16.2,1247.55,16.7,1533.6,0.14,11.96,Strategy 2.6.180,IS
1142,NZDUSD,Sell,31.01.2025 04:45:00,0.56401,0.1,31.01.2025 23:45:00,0.56353,19h 0m,4.3,1251.85,-0.5,4.3,1251.85,4.8,1538.4,0.04,12,Strategy 2.6.180,IS
1144,NZDUSD,Sell,03.02.2025 10:30:00,0.5566,0.1,03.02.2025 23:45:00,0.56271,13h 15m,-61.6,1190.25,-0.5,-61.6,1190.25,-61.1,1477.3,-0.55,11.45,Strategy 2.6.180,IS
1146,NZDUSD,Sell,05.02.2025 03:30:00,0.56605,0.1,05.02.2025 23:45:00,0.56879,20h 15m,-27.9,1162.35,-0.5,-27.9,1162.35,-27.4,1449.9,-0.25,11.2,Strategy 2.6.180,IS
1148,NZDUSD,Sell,06.02.2025 13:30:00,0.5662,0.1,06.02.2025 23:45:00,0.56768,10h 15m,-15.3,1147.05,-0.5,-15.3,1147.05,-14.8,1435.1,-0.14,11.06,Strategy 2.6.180,IS
1150,NZDUSD,Sell,12.02.2025 04:00:00,0.56646,0.1,12.02.2025 15:30:40,0.56346,11h 30m,29.5,1176.55,-0.5,29.5,1176.55,30,1465.1,0.26,11.33,tp 0.56346,IS
1152,NZDUSD,Sell,14.02.2025 15:15:00,0.57091,0.1,14.02.2025 23:45:00,0.57344,8h 30m,-25.8,1150.75,-0.5,-25.8,1150.75,-25.3,1439.8,-0.23,11.1,Strategy 2.6.180,IS
1154,NZDUSD,Sell,17.02.2025 03:30:00,0.5743,0.1,17.02.2025 23:45:00,0.57374,20h 15m,5.1,1155.85,-0.5,5.1,1155.85,5.6,1445.4,0.05,11.14,Strategy 2.6.180,IS
1156,NZDUSD,Sell,18.02.2025 09:00:00,0.57112,0.1,18.02.2025 23:45:00,0.57057,14h 45m,5,1160.85,-0.5,5,1160.85,5.5,1450.9,0.04,11.19,Strategy 2.6.180,IS
1158,NZDUSD,Sell,19.02.2025 08:00:00,0.57241,0.1,19.02.2025 23:45:00,0.57064,15h 45m,17.2,1178.05,-0.5,17.2,1178.05,17.7,1468.6,0.15,11.34,Strategy 2.6.180,IS
1160,NZDUSD,Sell,20.02.2025 19:30:00,0.57652,0.1,20.02.2025 23:45:00,0.57642,4h 15m,0.5,1178.55,-0.5,0.5,1178.55,1,1469.6,0,11.35,Strategy 2.6.180,IS
1162,NZDUSD,Sell,21.02.2025 05:00:00,0.57697,0.1,21.02.2025 20:33:40,0.57397,15h 33m,29.5,1208.05,-0.5,29.5,1208.05,30,1499.6,0.26,11.61,tp 0.57397,IS
1164,NZDUSD,Sell,25.02.2025 04:45:00,0.57311,0.1,25.02.2025 23:45:00,0.57255,19h 0m,5.1,1213.15,-0.5,5.1,1213.15,5.6,1505.2,0.05,11.65,Strategy 2.6.180,IS
1166,NZDUSD,Sell,26.02.2025 17:45:00,0.57023,0.1,26.02.2025 23:45:00,0.56934,6h 0m,8.4,1221.55,-0.5,8.4,1221.55,8.9,1514.1,0.07,11.73,Strategy 2.6.180,IS
1168,NZDUSD,Sell,28.02.2025 10:15:00,0.56027,0.1,28.02.2025 23:45:00,0.5597,13h 30m,5.2,1226.75,-0.5,5.2,1226.75,5.7,1519.8,0.05,11.78,Strategy 2.6.180,IS
1170,NZDUSD,Sell,03.03.2025 11:15:00,0.56066,0.1,03.03.2025 23:45:00,0.56196,12h 30m,-13.5,1213.25,-0.5,-13.5,1213.25,-13,1506.8,-0.12,11.66,Strategy 2.6.180,IS
1172,NZDUSD,Sell,04.03.2025 03:30:00,0.56183,0.1,04.03.2025 23:45:00,0.56647,20h 15m,-46.9,1166.35,-0.5,-46.9,1166.35,-46.4,1460.4,-0.42,11.24,Strategy 2.6.180,IS
1174,NZDUSD,Sell,05.03.2025 14:15:00,0.56872,0.1,05.03.2025 23:45:00,0.57302,9h 30m,-43.5,1122.85,-0.5,-43.5,1122.85,-43,1417.4,-0.39,10.85,Strategy 2.6.180,IS
1176,NZDUSD,Sell,06.03.2025 03:45:00,0.57382,0.1,06.03.2025 23:45:00,0.57356,20h 0m,2.1,1124.95,-0.5,2.1,1124.95,2.6,1420,0.02,10.87,Strategy 2.6.180,IS
1178,NZDUSD,Sell,07.03.2025 09:30:00,0.57223,0.1,07.03.2025 23:45:00,0.57122,14h 15m,9.6,1134.55,-0.5,9.6,1134.55,10.1,1430.1,0.09,10.95,Strategy 2.6.180,IS
1180,NZDUSD,Sell,11.03.2025 10:45:00,0.57035,0.1,11.03.2025 23:45:00,0.57151,13h 0m,-12.1,1122.45,-0.5,-12.1,1122.45,-11.6,1418.5,-0.11,10.84,Strategy 2.6.180,IS
1182,NZDUSD,Sell,14.03.2025 18:30:00,0.57446,0.1,14.03.2025 23:45:00,0.5755,5h 15m,-10.9,1111.55,-0.5,-10.9,1111.55,-10.4,1408.1,-0.1,10.75,Strategy 2.6.180,IS
1184,NZDUSD,Sell,17.03.2025 04:45:00,0.57617,0.1,17.03.2025 23:45:00,0.58229,19h 0m,-61.7,1049.85,-0.5,-61.7,1049.85,-61.2,1346.9,-0.56,10.19,Strategy 2.6.180,IS
1186,NZDUSD,Sell,18.03.2025 04:30:00,0.58287,0.1,18.03.2025 18:01:40,0.57987,13h 31m,29.5,1079.35,-0.5,29.5,1079.35,30,1376.9,0.27,10.46,tp 0.57987,IS
1188,NZDUSD,Sell,19.03.2025 21:45:00,0.58077,0.1,19.03.2025 23:45:00,0.58161,2h 0m,-8.9,1070.45,-0.5,-8.9,1070.45,-8.4,1368.5,-0.08,10.38,Strategy 2.6.180,IS
1190,NZDUSD,Sell,20.03.2025 21:15:00,0.57515,0.1,20.03.2025 23:45:00,0.57591,2h 30m,-8.1,1062.35,-0.5,-8.1,1062.35,-7.6,1360.9,-0.07,10.3,Strategy 2.6.180,IS
1192,NZDUSD,Sell,21.03.2025 03:45:00,0.5765,0.1,21.03.2025 18:44:40,0.5735,14h 59m,29.5,1091.85,-0.5,29.5,1091.85,30,1390.9,0.27,10.57,tp 0.57350,IS
1194,NZDUSD,Sell,24.03.2025 03:15:00,0.57477,0.1,24.03.2025 19:29:40,0.57177,16h 14m,29.5,1121.35,-0.5,29.5,1121.35,30,1420.9,0.27,10.84,tp 0.57177,IS
1196,NZDUSD,Sell,27.03.2025 04:15:00,0.57314,0.1,27.03.2025 23:45:00,0.57389,19h 30m,-8,1113.35,-0.5,-8,1113.35,-7.5,1413.4,-0.07,10.77,Strategy 2.6.180,IS
1198,NZDUSD,Sell,28.03.2025 10:30:00,0.57199,0.1,28.03.2025 23:45:00,0.57149,13h 15m,4.5,1117.85,-0.5,4.5,1117.85,5,1418.4,0.04,10.81,Strategy 2.6.180,IS
1200,NZDUSD,Sell,31.03.2025 04:15:00,0.57143,0.1,31.03.2025 12:42:20,0.56843,8h 27m,29.5,1147.35,-0.5,29.5,1147.35,30,1448.4,0.27,11.07,tp 0.56843,IS
