Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
542,GBPUSD,Buy,16.01.2023 08:30:00,1.22444,0.1,16.01.2023 10:25:40,1.21937,1h 55m,-51.2,782.5,-0.5,-51.2,782.5,-50.7,918,-0.47,7.82,sl 1.21937,IS
544,GBPUSD,Buy,17.01.2023 04:30:00,1.21826,0.1,17.01.2023 13:44:40,1.22423,9h 14m,59.2,841.7,-0.5,59.2,841.7,59.7,977.7,0.55,8.37,tp 1.22423,IS
546,GBPUSD,Buy,19.01.2023 09:30:00,1.232,0.1,19.01.2023 20:36:40,1.23853,11h 6m,64.8,906.5,-0.5,64.8,906.5,65.3,1043,0.6,8.97,tp 1.23853,IS
548,GBPUSD,Buy,20.01.2023 03:15:00,1.23798,0.1,20.01.2023 11:55:40,1.23387,8h 40m,-41.6,864.9,-0.5,-41.6,864.9,-41.1,1001.9,-0.38,8.59,sl 1.23387,IS
550,GBPUSD,Buy,24.01.2023 11:30:00,1.23742,0.1,24.01.2023 11:49:40,1.23163,19m 40s,-58.4,806.5,-0.5,-58.4,806.5,-57.9,944,-0.54,8.05,sl 1.23163,IS
552,GBPUSD,Buy,25.01.2023 02:30:00,1.23192,0.1,25.01.2023 17:05:40,1.23824,14h 35m,62.7,869.2,-0.5,62.7,869.2,63.2,1007.2,0.58,8.63,tp 1.23824,IS
554,GBPUSD,Buy,26.01.2023 09:15:00,1.23893,0.1,26.01.2023 17:54:40,1.23503,8h 39m,-39.5,829.7,-0.5,-39.5,829.7,-39,968.2,-0.36,8.26,sl 1.23503,IS
556,GBPUSD,Buy,27.01.2023 10:30:00,1.23642,0.1,27.01.2023 23:45:00,1.23984,13h 15m,33.7,863.4,-0.5,33.7,863.4,34.2,1002.4,0.31,8.58,Strategy 3.3.167,IS
558,GBPUSD,Buy,30.01.2023 09:30:00,1.23762,0.1,30.01.2023 23:45:00,1.2354,14h 15m,-22.7,840.7,-0.5,-22.7,840.7,-22.2,980.2,-0.21,8.37,Strategy 3.3.167,IS
560,GBPUSD,Buy,31.01.2023 06:15:00,1.23414,0.1,31.01.2023 14:55:40,1.23063,8h 40m,-35.6,805.1,-0.5,-35.6,805.1,-35.1,945.1,-0.33,8.04,sl 1.23063,IS
562,GBPUSD,Buy,02.02.2023 17:00:00,1.22731,0.1,02.02.2023 23:45:00,1.22304,6h 45m,-43.2,761.9,-0.5,-43.2,761.9,-42.7,902.4,-0.4,7.64,Strategy 3.3.167,IS
564,GBPUSD,Buy,03.02.2023 02:15:00,1.2207,0.1,03.02.2023 15:31:40,1.2153,13h 16m,-54.5,707.4,-0.5,-54.5,707.4,-54,848.4,-0.51,7.13,sl 1.21530,IS
566,GBPUSD,Buy,07.02.2023 09:15:00,1.20291,0.1,07.02.2023 10:11:40,1.1989,56m 40s,-40.6,666.8,-0.5,-40.6,666.8,-40.1,808.3,-0.38,6.75,sl 1.19890,IS
568,GBPUSD,Buy,09.02.2023 03:15:00,1.20582,0.1,09.02.2023 10:22:40,1.21139,7h 7m,55.2,722,-0.5,55.2,722,55.7,864,0.52,7.27,tp 1.21139,IS
570,GBPUSD,Buy,10.02.2023 03:45:00,1.21055,0.1,10.02.2023 18:42:40,1.20677,14h 57m,-38.3,683.7,-0.5,-38.3,683.7,-37.8,826.2,-0.36,6.91,sl 1.20677,IS
572,GBPUSD,Buy,13.02.2023 02:15:00,1.20425,0.1,13.02.2023 14:31:40,1.20996,12h 16m,56.6,740.3,-0.5,56.6,740.3,57.1,883.3,0.53,7.44,tp 1.20996,IS
574,GBPUSD,Buy,21.02.2023 03:15:00,1.20195,0.1,21.02.2023 11:33:40,1.20614,8h 18m,41.4,781.7,-0.5,41.4,781.7,41.9,925.2,0.39,7.83,tp 1.20614,IS
576,GBPUSD,Buy,22.02.2023 18:00:00,1.20677,0.1,22.02.2023 23:45:00,1.20422,5h 45m,-26,755.7,-0.5,-26,755.7,-25.5,899.7,-0.24,7.59,Strategy 3.3.167,IS
578,GBPUSD,Buy,23.02.2023 10:45:00,1.20445,0.1,23.02.2023 19:13:40,1.19966,8h 28m,-48.4,707.3,-0.5,-48.4,707.3,-47.9,851.8,-0.45,7.14,sl 1.19966,IS
580,GBPUSD,Buy,24.02.2023 10:15:00,1.20106,0.1,24.02.2023 15:30:40,1.19627,5h 15m,-48.4,658.9,-0.5,-48.4,658.9,-47.9,803.9,-0.45,6.69,sl 1.19627,IS
