rank,objective,spearman_score_vs_target,pearson_score_vs_target,top_bucket_target_mean,bottom_bucket_target_mean,top_bottom_spread,complexity_penalty,concentration_penalty,max_weight,weight_entropy,effective_n_features,n_features,features,weights
86,0.7192050383962093,0.950765289147631,0.9497578194347994,0.7647200772200772,0.2482625482625483,0.5164575289575288,0.0,0.0,0.44025007555888485,1.2560498117667522,3.1919136473077514,4,rank__active_months|rank__expectancy_oos|rank__profit_factor_total|rank__profit_factor_oos,0.25630835|0.44025008|0.08951472|0.21392686
87,0.718936263129504,0.9472702096566913,0.947572550956118,0.7705405405405406,0.2516602316602316,0.5188803088803089,0.0,0.0,0.372048040080884,1.209521975976466,3.112154368725779,4,rank__active_months|rank__trade_count_oos|rank__profit_factor_oos|rank__expectancy_total,0.04761664|0.36839551|0.37204804|0.21193981
88,0.7187244188289309,0.9468407295497537,0.9539864604121945,0.7690492277992277,0.2432625482625483,0.5257866795366793,0.03,0.0,0.2110302119500551,1.7309567360444276,5.466830068675524,6,rank__net_profit_total|rank__trade_count_total|rank__trades_per_month|rank__avg_loss_total|rank__expectancy_oos|rank__profit_factor_oos,0.19100873|0.19996662|0.05609437|0.18364297|0.15825710|0.21103021
89,0.7186482342913643,0.9460261983124585,0.9480910482852769,0.7689189189189188,0.24472972972972976,0.5241891891891891,0.015,0.0,0.29848621853209456,1.4817505620002775,4.098919607378402,5,rank__net_profit_oos|rank__trade_count_oos|rank__expectancy_oos|rank__trade_count_is|rank__expectancy_is,0.29710610|0.20576714|0.29848622|0.14692028|0.05172026
90,0.718547721781825,0.9516094397026461,0.9526035280744334,0.7735569498069498,0.260719111969112,0.5128378378378378,0.03,0.0,0.304226127190459,1.6408088918076464,4.634748540442977,6,rank__profit_factor_total|rank__profit_factor_oos|rank__net_profit_oos|rank__active_months|rank__expectancy_total|rank__trade_count_is,0.09278964|0.12643016|0.30422613|0.26396974|0.05000130|0.16258303
91,0.7185061375624043,0.9531792635417969,0.9548390214225476,0.7636872586872586,0.24823359073359078,0.5154536679536679,0.03,0.0,0.27772008751587646,1.655836702293636,4.778749683486484,6,rank__profit_factor_oos|rank__trade_count_total|rank__net_profit_oos|rank__net_profit_is|rank__trade_count_oos|rank__trade_count_is,0.27772009|0.07411528|0.26552232|0.15858493|0.16627856|0.05777882
92,0.7184960611602453,0.9551933771467453,0.953055198684593,0.7649083011583013,0.2602557915057916,0.5046525096525097,0.0,0.0,0.40725519851340075,1.0832289963984258,2.9104848247166877,3,rank__net_profit_oos|rank__win_rate_oos|rank__payoff_ratio_total,0.40725520|0.26431486|0.32842994
93,0.7182580441939304,0.9544677038626095,0.953818416013695,0.7567615830115831,0.24388513513513518,0.5128764478764479,0.0,0.014183143164475859,0.47836628632895173,1.1944677892154247,2.915565821206783,4,rank__profit_factor_oos|rank__avg_win_total|rank__expectancy_oos|rank__win_rate_total,0.28575892|0.06958622|0.47836629|0.16628857
94,0.7178543972669928,0.9507208601710512,0.9514975555283345,0.7643677606177607,0.24701254826254826,0.5173552123552124,0.03,0.0,0.2778109487096954,1.682738444998077,4.939545873087606,6,rank__expectancy_oos|rank__profit_factor_oos|rank__win_rate_oos|rank__payoff_ratio_total|rank__trades_per_month|rank__net_profit_total,0.24746393|0.07554019|0.19021674|0.27781095|0.11689093|0.09207726
95,0.7176523315158309,0.9443082778847084,0.9469619382893204,0.768918918918919,0.24685328185328187,0.5220656370656371,0.0,0.007121090615409664,0.46424218123081934,1.1474776126820578,2.7766270171273346,4,rank__net_profit_is|rank__profit_factor_oos|rank__trade_count_is|rank__net_profit_oos,0.06117711|0.11839474|0.35618597|0.46424218
96,0.7170725607157268,0.9531200249063572,0.9463570243570399,0.7678861003861003,0.2575675675675676,0.5103185328185327,0.045,0.0,0.22034280448630425,1.8686901043064195,6.204717028938442,7,rank__win_rate_total|rank__avg_win_total|rank__expectancy_oos|rank__active_months|rank__net_profit_oos|rank__trade_count_total|rank__profit_factor_oos,0.22034280|0.16096547|0.15863146|0.03773761|0.12414721|0.16031213|0.13786331
97,0.7169554439000327,0.9557265248657023,0.9568275125793324,0.7561486486486488,0.24446911196911203,0.5116795366795368,0.045,0.0,0.19479302435854545,1.8719351937010607,6.172635478111909,7,rank__expectancy_oos|rank__expectancy_is|rank__profit_factor_oos|rank__win_rate_oos|rank__trade_count_total|rank__trades_per_month|rank__net_profit_oos,0.11443856|0.08615442|0.16457710|0.19034961|0.19211844|0.05756884|0.19479302
98,0.7169182054201856,0.9518315845855447,0.9509035321156579,0.766076254826255,0.25271235521235524,0.5133638996138997,0.045,0.0,0.3152423889756446,1.8092428631988884,5.342217447343663,7,rank__avg_win_total|rank__trade_count_oos|rank__win_rate_oos|rank__profit_factor_total|rank__net_profit_oos|rank__expectancy_oos|rank__active_months,0.08537951|0.06835145|0.09121913|0.17496939|0.10205455|0.31524239|0.16278358
99,0.7168729337331742,0.9443230875435683,0.9510826479699467,0.768918918918919,0.24542471042471045,0.5234942084942085,0.03,0.0,0.398635041060203,1.4871178265996225,3.701316471955142,6,rank__active_months|rank__profit_factor_total|rank__trade_count_oos|rank__win_rate_oos|rank__net_profit_oos|rank__net_profit_total,0.03755950|0.16974425|0.27072138|0.07015508|0.39863504|0.05318475
100,0.7163470238215772,0.9512391982311482,0.9502069373202302,0.7701592664092664,0.2515250965250965,0.5186341698841699,0.0,0.08910015452858658,0.6282003090571732,0.8997083098159061,2.1262820422222775,3,rank__net_profit_total|rank__win_rate_total|rank__net_profit_oos,0.24313340|0.12866629|0.62820031
