Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
1210,XAUUSD,Buy,06.02.2025 14:15:00,2867.88,0.1,06.02.2025 15:56:40,2856.33,1h 41m,-115.9,6335.1,-0.4,-115.9,6335.1,-115500,6738500,-0.7,51.31,sl 2856.33,IS
1212,XAUUSD,Buy,07.02.2025 02:15:00,2859.23,0.1,07.02.2025 16:24:40,2870.63,14h 9m,113.6,6448.7,-0.4,113.6,6448.7,114000,6852500,0.7,52.01,tp 2870.63,IS
1214,XAUUSD,Buy,11.02.2025 01:15:00,2911.39,0.1,11.02.2025 02:53:40,2922.79,1h 38m,113.6,6562.3,-0.4,113.6,6562.3,114000,6966500,0.69,52.7,tp 2922.79,IS
1216,XAUUSD,Buy,12.02.2025 19:00:00,2902.65,0.1,12.02.2025 23:45:00,2902.76,4h 45m,0.7,6563,-0.4,0.7,6563,1100,6967600,0,52.7,Strategy 2.13.130,IS
1218,XAUUSD,Buy,13.02.2025 01:05:00,2904.93,0.1,13.02.2025 05:26:20,2916.33,4h 21m,113.6,6676.6,-0.4,113.6,6676.6,114000,7081600,0.69,53.39,tp 2916.33,IS
1220,XAUUSD,Buy,14.02.2025 03:15:00,2931.86,0.1,14.02.2025 15:44:40,2920.31,12h 29m,-115.91,6560.69,-0.41,-115.91,6560.69,-115500,6966100,-0.7,52.69,sl 2920.31,IS
1222,XAUUSD,Buy,18.02.2025 04:45:00,2903.6,0.1,18.02.2025 07:32:20,2915,2h 47m,113.6,6674.29,-0.4,113.6,6674.29,114000,7080100,0.69,53.38,tp 2915.00,IS
1224,XAUUSD,Buy,19.02.2025 04:00:00,2938.76,0.1,19.02.2025 04:49:40,2927.21,49m 40s,-115.91,6558.38,-0.41,-115.91,6558.38,-115500,6964600,-0.7,52.68,sl 2927.21,IS
1226,XAUUSD,Buy,20.02.2025 02:15:00,2939.42,0.1,20.02.2025 09:33:40,2950.82,7h 18m,113.58,6671.96,-0.42,113.58,6671.96,114000,7078600,0.69,53.37,tp 2950.82,IS
1228,XAUUSD,Buy,21.02.2025 03:15:00,2946.3,0.1,21.02.2025 03:46:40,2934.75,31m 40s,-115.92,6556.04,-0.42,-115.92,6556.04,-115500,6963100,-0.7,52.67,sl 2934.75,IS
1230,XAUUSD,Buy,26.02.2025 02:15:00,2924.63,0.1,26.02.2025 06:17:40,2913.08,4h 2m,-115.9,6440.14,-0.4,-115.9,6440.14,-115500,6847600,-0.7,51.97,sl 2913.08,IS
1232,XAUUSD,Buy,27.02.2025 01:45:00,2920.18,0.1,27.02.2025 04:50:40,2908.63,3h 5m,-115.9,6324.24,-0.4,-115.9,6324.24,-115500,6732100,-0.7,51.27,sl 2908.63,IS
1234,XAUUSD,Buy,04.03.2025 09:30:00,2899.65,0.1,04.03.2025 10:28:40,2911.05,58m 40s,113.6,6437.84,-0.4,113.6,6437.84,114000,6846100,0.7,51.96,tp 2911.05,IS
1236,XAUUSD,Buy,05.03.2025 08:00:00,2918.95,0.1,05.03.2025 15:34:40,2907.4,7h 34m,-115.9,6321.94,-0.4,-115.9,6321.94,-115500,6730600,-0.71,51.26,sl 2907.40,IS
1238,XAUUSD,Buy,06.03.2025 04:00:00,2924.88,0.1,06.03.2025 09:35:40,2913.33,5h 35m,-115.9,6206.04,-0.4,-115.9,6206.04,-115500,6615100,-0.71,50.55,sl 2913.33,IS
1240,XAUUSD,Buy,07.03.2025 08:45:00,2913.93,0.1,07.03.2025 15:37:20,2925.33,6h 52m,113.6,6319.64,-0.4,113.6,6319.64,114000,6729100,0.7,51.25,tp 2925.33,IS
1242,XAUUSD,Buy,11.03.2025 05:15:00,2894.35,0.1,11.03.2025 11:20:40,2905.75,6h 5m,113.6,6433.24,-0.4,113.6,6433.24,114000,6843100,0.7,51.95,tp 2905.75,IS
1244,XAUUSD,Buy,13.03.2025 05:15:00,2941.3,0.1,13.03.2025 17:03:40,2952.7,11h 48m,113.58,6546.82,-0.42,113.58,6546.82,114000,6957100,0.69,52.64,tp 2952.70,IS
1246,XAUUSD,Buy,14.03.2025 04:15:00,2990.1,0.1,14.03.2025 13:15:40,3001.5,9h 0m,113.58,6660.4,-0.42,113.58,6660.4,114000,7071100,0.69,53.32,tp 3001.50,IS
1248,XAUUSD,Buy,18.03.2025 02:30:00,3001.65,0.1,18.03.2025 06:14:40,3013.05,3h 44m,113.58,6773.98,-0.42,113.58,6773.98,114000,7185100,0.68,54.01,tp 3013.05,IS
1250,XAUUSD,Buy,19.03.2025 07:30:00,3037.15,0.1,19.03.2025 11:59:40,3025.6,4h 29m,-115.92,6658.06,-0.42,-115.92,6658.06,-115500,7069600,-0.69,53.31,sl 3025.60,IS
1252,XAUUSD,Buy,20.03.2025 01:15:00,3049.72,0.1,20.03.2025 13:07:40,3038.17,11h 52m,-115.92,6542.14,-0.42,-115.92,6542.14,-115500,6954100,-0.7,52.62,sl 3038.17,IS
1254,XAUUSD,Buy,25.03.2025 08:15:00,3018.64,0.1,25.03.2025 16:42:40,3030.04,8h 27m,113.58,6655.72,-0.42,113.58,6655.72,114000,7068100,0.69,53.3,tp 3030.04,IS
1256,XAUUSD,Buy,26.03.2025 05:00:00,3025,0.1,26.03.2025 08:08:40,3013.45,3h 8m,-115.92,6539.8,-0.42,-115.92,6539.8,-115500,6952600,-0.7,52.61,sl 3013.45,IS
1258,XAUUSD,Buy,27.03.2025 03:15:00,3023.49,0.1,27.03.2025 07:07:40,3034.89,3h 52m,113.58,6653.38,-0.42,113.58,6653.38,114000,7066600,0.69,53.3,tp 3034.89,IS
1260,XAUUSD,Buy,28.03.2025 03:15:00,3058.43,0.1,28.03.2025 04:47:20,3069.83,1h 32m,113.58,6766.96,-0.42,113.58,6766.96,114000,7180600,0.68,53.98,tp 3069.83,IS
