Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
198,AUDUSD,Sell,10.01.2022 05:15:00,0.719,0.1,10.01.2022 16:05:40,0.717,10h 50m,19.5,-11.9,-0.5,19.5,-11.9,20,37.6,0.2,-0.09,tp 0.71700,IS
200,AUDUSD,Sell,11.01.2022 12:00:00,0.71844,0.1,11.01.2022 15:43:40,0.71644,3h 43m,19.5,7.6,-0.5,19.5,7.6,20,57.6,0.2,0.11,tp 0.71644,IS
202,AUDUSD,Sell,13.01.2022 12:00:00,0.73099,0.1,13.01.2022 17:32:40,0.72899,5h 32m,19.5,27.1,-0.5,19.5,27.1,20,77.6,0.19,0.3,tp 0.72899,IS
204,AUDUSD,Sell,14.01.2022 12:00:00,0.72718,0.1,14.01.2022 14:31:40,0.72518,2h 31m,19.5,46.6,-0.5,19.5,46.6,20,97.6,0.19,0.5,tp 0.72518,IS
206,AUDUSD,Sell,17.01.2022 04:00:00,0.71987,0.1,17.01.2022 23:45:30,0.72107,19h 45m,-12.5,34.1,-0.5,-12.5,34.1,-12,85.6,-0.12,0.37,Strategy_5_8_189,IS
208,AUDUSD,Sell,18.01.2022 08:00:00,0.71915,0.1,18.01.2022 19:47:40,0.71715,11h 47m,19.5,53.6,-0.5,19.5,53.6,20,105.6,0.19,0.57,tp 0.71715,IS
210,AUDUSD,Sell,19.01.2022 12:00:00,0.7202,0.1,19.01.2022 23:45:00,0.72124,11h 45m,-10.9,42.7,-0.5,-10.9,42.7,-10.4,95.2,-0.11,0.46,Strategy_5_8_189,IS
212,AUDUSD,Sell,20.01.2022 04:00:00,0.72381,0.1,20.01.2022 23:45:00,0.72232,19h 45m,14.4,57.1,-0.5,14.4,57.1,14.9,110.1,0.14,0.6,Strategy_5_8_189,IS
214,AUDUSD,Sell,21.01.2022 02:00:00,0.72165,0.1,21.01.2022 02:44:40,0.71965,44m 40s,19.5,76.6,-0.5,19.5,76.6,20,130.1,0.19,0.8,tp 0.71965,IS
216,AUDUSD,Sell,24.01.2022 08:00:00,0.71649,0.1,24.01.2022 12:09:40,0.71449,4h 9m,19.5,96.1,-0.5,19.5,96.1,20,150.1,0.19,0.99,tp 0.71449,IS
218,AUDUSD,Sell,25.01.2022 02:00:00,0.71542,0.1,25.01.2022 06:36:40,0.71342,4h 36m,19.5,115.6,-0.5,19.5,115.6,20,170.1,0.19,1.18,tp 0.71342,IS
220,AUDUSD,Sell,27.01.2022 02:00:00,0.71211,0.1,27.01.2022 02:49:40,0.71011,49m 40s,19.5,135.1,-0.5,19.5,135.1,20,190.1,0.19,1.38,tp 0.71011,IS
222,AUDUSD,Sell,28.01.2022 12:00:00,0.70009,0.1,28.01.2022 12:39:40,0.69809,39m 40s,19.5,154.6,-0.5,19.5,154.6,20,210.1,0.19,1.57,tp 0.69809,IS
224,AUDUSD,Sell,31.01.2022 12:00:00,0.70523,0.1,31.01.2022 23:45:00,0.70685,11h 45m,-16.7,137.9,-0.5,-16.7,137.9,-16.2,193.9,-0.16,1.4,Strategy_5_8_189,IS
226,AUDUSD,Sell,01.02.2022 08:00:00,0.70666,0.1,01.02.2022 23:45:00,0.71266,15h 45m,-60.5,77.4,-0.5,-60.5,77.4,-60,133.9,-0.6,0.81,Strategy_5_8_189,IS
228,AUDUSD,Sell,04.02.2022 12:00:00,0.71101,0.1,04.02.2022 13:09:40,0.70901,1h 9m,19.5,96.9,-0.5,19.5,96.9,20,153.9,0.19,1,tp 0.70901,IS
230,AUDUSD,Sell,08.02.2022 08:00:00,0.71129,0.1,08.02.2022 23:45:00,0.7147,15h 45m,-34.6,62.3,-0.5,-34.6,62.3,-34.1,119.8,-0.34,0.66,Strategy_5_8_189,IS
232,AUDUSD,Sell,10.02.2022 12:00:00,0.71882,0.1,10.02.2022 15:30:40,0.71682,3h 30m,19.5,81.8,-0.5,19.5,81.8,20,139.8,0.19,0.85,tp 0.71682,IS
234,AUDUSD,Sell,11.02.2022 02:00:00,0.71594,0.1,11.02.2022 02:25:40,0.71394,25m 40s,19.5,101.3,-0.5,19.5,101.3,20,159.8,0.19,1.05,tp 0.71394,IS
236,AUDUSD,Sell,14.02.2022 02:00:00,0.71442,0.1,14.02.2022 04:03:40,0.71242,2h 3m,19.5,120.8,-0.5,19.5,120.8,20,179.8,0.19,1.24,tp 0.71242,IS
238,AUDUSD,Sell,15.02.2022 02:00:00,0.71316,0.1,15.02.2022 07:23:40,0.71116,5h 23m,19.5,140.3,-0.5,19.5,140.3,20,199.8,0.19,1.43,tp 0.71116,IS
240,AUDUSD,Sell,17.02.2022 02:00:00,0.7194,0.1,17.02.2022 05:55:40,0.7174,3h 55m,19.5,159.8,-0.5,19.5,159.8,20,219.8,0.19,1.62,tp 0.71740,IS
242,AUDUSD,Sell,18.02.2022 12:00:00,0.72138,0.1,18.02.2022 16:40:40,0.71938,4h 40m,19.5,179.3,-0.5,19.5,179.3,20,239.8,0.19,1.82,tp 0.71938,IS
244,AUDUSD,Sell,21.02.2022 04:00:00,0.71976,0.1,21.02.2022 23:45:30,0.7191,19h 45m,6.1,185.4,-0.5,6.1,185.4,6.6,246.4,0.06,1.88,Strategy_5_8_189,IS
246,AUDUSD,Sell,22.02.2022 04:00:00,0.71911,0.1,22.02.2022 23:45:00,0.72202,19h 45m,-29.6,155.8,-0.5,-29.6,155.8,-29.1,217.3,-0.29,1.59,Strategy_5_8_189,IS
248,AUDUSD,Sell,23.02.2022 14:00:00,0.72573,0.1,23.02.2022 18:09:20,0.72373,4h 9m,19.5,175.3,-0.5,19.5,175.3,20,237.3,0.19,1.78,tp 0.72373,IS
250,AUDUSD,Sell,24.02.2022 04:00:00,0.72148,0.1,24.02.2022 04:51:40,0.71948,51m 40s,19.5,194.8,-0.5,19.5,194.8,20,257.3,0.19,1.97,tp 0.71948,IS
252,AUDUSD,Sell,25.02.2022 02:00:00,0.71605,0.1,25.02.2022 02:52:20,0.71405,52m 20s,19.5,214.3,-0.5,19.5,214.3,20,277.3,0.19,2.16,tp 0.71405,IS
254,AUDUSD,Sell,28.02.2022 04:00:00,0.71815,0.1,28.02.2022 18:32:40,0.72615,14h 32m,-80.5,133.8,-0.5,-80.5,133.8,-80,197.3,-0.79,1.37,sl 0.72615,IS
256,AUDUSD,Sell,03.03.2022 08:00:00,0.73058,0.1,03.03.2022 23:45:00,0.73286,15h 45m,-23.3,110.5,-0.5,-23.3,110.5,-22.8,174.5,-0.23,1.14,Strategy_5_8_189,IS
258,AUDUSD,Sell,04.03.2022 04:00:00,0.73268,0.1,04.03.2022 23:45:00,0.73745,19h 45m,-48.2,62.3,-0.5,-48.2,62.3,-47.7,126.8,-0.48,0.67,Strategy_5_8_189,IS
260,AUDUSD,Sell,07.03.2022 05:30:00,0.74032,0.1,07.03.2022 14:42:40,0.73832,9h 12m,19.5,81.8,-0.5,19.5,81.8,20,146.8,0.19,0.86,tp 0.73832,IS
262,AUDUSD,Sell,08.03.2022 04:00:00,0.73367,0.1,08.03.2022 06:34:40,0.73167,2h 34m,19.5,101.3,-0.5,19.5,101.3,20,166.8,0.19,1.05,tp 0.73167,IS
264,AUDUSD,Sell,09.03.2022 12:00:00,0.73238,0.1,09.03.2022 23:45:00,0.73224,11h 45m,0.9,102.2,-0.5,0.9,102.2,1.4,168.2,0.01,1.06,Strategy_5_8_189,IS
266,AUDUSD,Sell,10.03.2022 04:00:00,0.72942,0.1,10.03.2022 23:45:00,0.73605,19h 45m,-66.8,35.4,-0.5,-66.8,35.4,-66.3,101.9,-0.66,0.4,Strategy_5_8_189,IS
268,AUDUSD,Sell,11.03.2022 12:00:00,0.73138,0.1,11.03.2022 22:00:40,0.72938,10h 0m,19.5,54.9,-0.5,19.5,54.9,20,121.9,0.19,0.59,tp 0.72938,IS
