Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
1026,USDCHF,Buy,05.12.2024 07:45:00,0.88351,0.1,05.12.2024 11:17:40,0.88493,3h 32m,15.55,1054.82,-0.5,15.55,1054.82,14.2,1225,0.14,10.2,tp 0.88493,IS
1028,USDCHF,Buy,10.12.2024 05:45:00,0.87812,0.1,10.12.2024 10:16:40,0.87959,4h 31m,16.21,1071.03,-0.5,16.21,1071.03,14.7,1239.7,0.15,10.35,tp 0.87959,IS
1030,USDCHF,Buy,12.12.2024 02:00:00,0.88331,0.1,12.12.2024 10:29:40,0.88502,8h 29m,18.82,1089.85,-0.5,18.82,1089.85,17.1,1256.8,0.17,10.52,tp 0.88502,IS
1032,USDCHF,Buy,16.12.2024 02:45:00,0.89149,0.1,16.12.2024 14:31:40,0.89312,11h 46m,17.75,1107.6,-0.5,17.75,1107.6,16.3,1273.1,0.16,10.68,tp 0.89312,IS
1034,USDCHF,Buy,17.12.2024 03:00:00,0.89349,0.1,17.12.2024 06:46:40,0.89508,3h 46m,17.26,1124.86,-0.5,17.26,1124.86,15.9,1289,0.16,10.83,tp 0.89508,IS
1036,USDCHF,Buy,18.12.2024 08:45:00,0.89192,0.1,18.12.2024 09:42:40,0.89309,57m 40s,12.6,1137.46,-0.5,12.6,1137.46,11.7,1300.7,0.11,10.94,tp 0.89309,IS
1038,USDCHF,Buy,20.12.2024 08:30:00,0.89766,0.1,20.12.2024 12:57:20,0.89428,4h 27m,-38.3,1099.16,-0.5,-38.3,1099.16,-33.8,1266.9,-0.34,10.6,sl 0.89428,IS
1040,USDCHF,Buy,31.12.2024 03:00:00,0.90308,0.1,31.12.2024 12:31:40,0.90457,9h 31m,15.97,1115.13,-0.5,15.97,1115.13,14.9,1281.8,0.14,10.74,tp 0.90457,IS
1042,USDCHF,Buy,02.01.2025 00:15:00,0.9068,0.1,02.01.2025 15:30:40,0.90872,15h 15m,20.63,1135.76,-0.5,20.63,1135.76,19.2,1301,0.19,10.93,tp 0.90872,IS
1044,USDCHF,Buy,06.01.2025 00:15:00,0.90968,0.1,06.01.2025 10:50:40,0.90656,10h 35m,-34.92,1100.84,-0.5,-34.92,1100.84,-31.2,1269.8,-0.31,10.62,sl 0.90656,IS
1046,USDCHF,Buy,07.01.2025 06:30:00,0.90447,0.1,07.01.2025 13:21:40,0.90606,6h 51m,17.05,1117.89,-0.5,17.05,1117.89,15.9,1285.7,0.15,10.77,tp 0.90606,IS
1048,USDCHF,Buy,09.01.2025 05:15:00,0.91029,0.1,09.01.2025 08:55:40,0.91175,3h 40m,15.51,1133.4,-0.5,15.51,1133.4,14.6,1300.3,0.14,10.91,tp 0.91175,IS
1050,USDCHF,Buy,10.01.2025 00:15:00,0.91244,0.1,10.01.2025 12:47:40,0.91388,12h 32m,15.26,1148.66,-0.5,15.26,1148.66,14.4,1314.7,0.14,11.05,tp 0.91388,IS
1052,USDCHF,Buy,14.01.2025 10:00:00,0.91522,0.1,14.01.2025 14:13:20,0.91706,4h 13m,19.56,1168.22,-0.5,19.56,1168.22,18.4,1333.1,0.18,11.22,tp 0.91706,IS
1054,USDCHF,Buy,16.01.2025 03:00:00,0.91196,0.1,16.01.2025 16:32:40,0.91363,13h 32m,17.78,1186,-0.5,17.78,1186,16.7,1349.8,0.16,11.38,tp 0.91363,IS
1056,USDCHF,Buy,17.01.2025 00:15:00,0.91133,0.1,17.01.2025 16:03:40,0.91341,15h 48m,22.27,1208.27,-0.5,22.27,1208.27,20.8,1370.6,0.2,11.58,tp 0.91341,IS
1058,USDCHF,Buy,20.01.2025 00:15:00,0.91472,0.1,20.01.2025 15:31:40,0.91077,15h 16m,-43.87,1164.4,-0.5,-43.87,1164.4,-39.5,1331.1,-0.39,11.19,sl 0.91077,IS
1060,USDCHF,Buy,22.01.2025 09:45:00,0.90629,0.1,22.01.2025 23:45:00,0.90625,14h 0m,-0.94,1163.46,-0.5,-0.94,1163.46,-0.4,1330.7,-0.01,11.18,Strategy 4.5.112,IS
1062,USDCHF,Buy,24.01.2025 04:15:00,0.90624,0.1,24.01.2025 10:50:20,0.9032,6h 35m,-34.16,1129.3,-0.5,-34.16,1129.3,-30.4,1300.3,-0.31,10.87,sl 0.90320,IS
