Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
572,USDJPY,Buy,09.03.2023 14:15:00,136.333,0.1,09.03.2023 23:45:00,136.123,9h 30m,-15.93,1177.59,-0.5,-15.93,1177.59,-21,1746.3,-0.14,11.39,Strategy 2.5.150,IS
574,USDJPY,Buy,10.03.2023 12:15:00,136.961,0.1,10.03.2023 15:30:40,136.183,3h 15m,-57.63,1119.96,-0.5,-57.63,1119.96,-77.8,1668.5,-0.52,10.87,sl 136.183,IS
576,USDJPY,Buy,27.03.2023 20:00:00,131.6,0.1,27.03.2023 23:45:00,131.531,3h 45m,-5.75,1114.21,-0.5,-5.75,1114.21,-6.9,1661.6,-0.05,10.82,Strategy 2.5.150,IS
578,USDJPY,Buy,29.03.2023 15:45:00,132.467,0.1,29.03.2023 23:45:00,132.877,8h 0m,30.36,1144.57,-0.5,30.36,1144.57,41,1702.6,0.27,11.1,Strategy 2.5.150,IS
580,USDJPY,Buy,30.03.2023 04:30:00,132.771,0.1,30.03.2023 23:45:00,132.686,19h 15m,-6.91,1137.66,-0.5,-6.91,1137.66,-8.5,1694.1,-0.06,11.03,Strategy 2.5.150,IS
582,USDJPY,Buy,31.03.2023 03:45:00,133.436,0.1,31.03.2023 19:23:40,132.73,15h 38m,-53.69,1083.97,-0.5,-53.69,1083.97,-70.6,1623.5,-0.48,10.55,sl 132.730,IS
584,USDJPY,Buy,03.04.2023 00:45:00,133.356,0.1,03.04.2023 14:38:40,132.895,13h 53m,-35.19,1048.78,-0.5,-35.19,1048.78,-46.1,1577.4,-0.32,10.23,sl 132.895,IS
586,USDJPY,Buy,07.04.2023 20:15:00,132.138,0.1,07.04.2023 23:45:00,132.187,3h 30m,3.21,1051.99,-0.5,3.21,1051.99,4.9,1582.3,0.03,10.26,Strategy 2.5.150,IS
588,USDJPY,Buy,10.04.2023 07:15:00,132.718,0.1,10.04.2023 17:58:20,133.868,10h 43m,85.41,1137.4,-0.5,85.41,1137.4,115,1697.3,0.77,11.04,tp 133.868,IS
590,USDJPY,Buy,11.04.2023 04:30:00,133.637,0.1,11.04.2023 23:45:00,133.733,19h 15m,6.68,1144.08,-0.5,6.68,1144.08,9.6,1706.9,0.06,11.1,Strategy 2.5.150,IS
592,USDJPY,Buy,13.04.2023 01:15:00,133.206,0.1,13.04.2023 15:55:40,132.537,14h 40m,-50.98,1093.1,-0.5,-50.98,1093.1,-66.9,1640,-0.46,10.64,sl 132.537,IS
594,USDJPY,Buy,17.04.2023 01:45:00,133.886,0.1,17.04.2023 23:45:00,134.465,22h 0m,42.56,1135.66,-0.5,42.56,1135.66,57.9,1697.9,0.38,11.02,Strategy 2.5.150,IS
596,USDJPY,Buy,18.04.2023 16:00:00,134.184,0.1,18.04.2023 23:45:00,134.087,7h 45m,-7.73,1127.93,-0.5,-7.73,1127.93,-9.7,1688.2,-0.07,10.95,Strategy 2.5.150,IS
598,USDJPY,Buy,19.04.2023 05:00:00,134.263,0.1,19.04.2023 23:45:00,134.678,18h 45m,30.31,1158.24,-0.5,30.31,1158.24,41.5,1729.7,0.27,11.23,Strategy 2.5.150,IS
600,USDJPY,Buy,20.04.2023 07:45:00,134.806,0.1,20.04.2023 17:46:40,134.023,10h 1m,-58.92,1099.32,-0.5,-58.92,1099.32,-78.3,1651.4,-0.53,10.7,sl 134.023,IS
602,USDJPY,Buy,24.04.2023 04:45:00,134.136,0.1,24.04.2023 23:45:00,134.281,19h 0m,10.3,1109.62,-0.5,10.3,1109.62,14.5,1665.9,0.09,10.79,Strategy 2.5.150,IS
604,USDJPY,Buy,25.04.2023 03:15:00,134.198,0.1,25.04.2023 20:24:40,133.648,17h 9m,-41.65,1067.97,-0.5,-41.65,1067.97,-55,1610.9,-0.37,10.42,sl 133.648,IS
606,USDJPY,Buy,28.04.2023 04:00:00,134.038,0.1,28.04.2023 06:24:40,133.397,2h 24m,-48.55,1019.42,-0.5,-48.55,1019.42,-64.1,1546.8,-0.44,9.98,sl 133.397,IS
608,USDJPY,Buy,01.05.2023 02:30:00,136.382,0.1,01.05.2023 22:53:20,137.532,20h 23m,83.12,1102.54,-0.5,83.12,1102.54,115,1661.8,0.75,10.73,tp 137.532,IS
610,USDJPY,Buy,02.05.2023 07:30:00,137.568,0.1,02.05.2023 17:12:20,136.913,9h 42m,-48.34,1054.2,-0.5,-48.34,1054.2,-65.5,1596.3,-0.44,10.3,sl 136.913,IS
612,USDJPY,Buy,08.05.2023 21:15:00,135.018,0.1,08.05.2023 23:45:00,135.095,2h 30m,5.2,1059.4,-0.5,5.2,1059.4,7.7,1604,0.05,10.34,Strategy 2.5.150,IS
614,USDJPY,Buy,09.05.2023 19:45:00,135.212,0.1,09.05.2023 23:45:00,135.223,4h 0m,0.31,1059.71,-0.5,0.31,1059.71,1.1,1605.1,0,10.35,Strategy 2.5.150,IS
616,USDJPY,Buy,10.05.2023 02:15:00,135.246,0.1,10.05.2023 15:32:40,134.649,13h 17m,-44.84,1014.87,-0.5,-44.84,1014.87,-59.7,1545.4,-0.41,9.94,sl 134.649,IS
618,USDJPY,Buy,15.05.2023 02:45:00,135.888,0.1,15.05.2023 23:45:00,136.084,21h 0m,13.9,1028.77,-0.5,13.9,1028.77,19.6,1565,0.13,10.07,Strategy 2.5.150,IS
620,USDJPY,Buy,16.05.2023 15:00:00,135.857,0.1,16.05.2023 23:45:00,136.372,8h 45m,37.26,1066.03,-0.5,37.26,1066.03,51.5,1616.5,0.34,10.4,Strategy 2.5.150,IS
622,USDJPY,Buy,17.05.2023 04:45:00,136.473,0.1,17.05.2023 21:37:40,137.623,16h 52m,83.06,1149.09,-0.5,83.06,1149.09,115,1731.5,0.75,11.15,tp 137.623,IS
624,USDJPY,Buy,18.05.2023 07:00:00,137.587,0.1,18.05.2023 22:18:40,138.737,15h 18m,82.39,1231.48,-0.5,82.39,1231.48,115,1846.5,0.74,11.89,tp 138.737,IS
626,USDJPY,Buy,19.05.2023 14:15:00,138.324,0.1,19.05.2023 18:16:40,137.828,4h 1m,-36.49,1194.99,-0.5,-36.49,1194.99,-49.6,1796.9,-0.32,11.57,sl 137.828,IS
628,USDJPY,Buy,22.05.2023 08:45:00,137.903,0.1,22.05.2023 23:45:00,138.582,15h 0m,48.5,1243.49,-0.5,48.5,1243.49,67.9,1864.8,0.43,12,Strategy 2.5.150,IS
630,USDJPY,Buy,23.05.2023 02:30:00,138.692,0.1,23.05.2023 23:45:00,138.572,21h 15m,-9.16,1234.33,-0.5,-9.16,1234.33,-12,1852.8,-0.08,11.92,Strategy 2.5.150,IS
632,USDJPY,Buy,24.05.2023 10:00:00,138.693,0.1,24.05.2023 23:45:00,139.427,13h 45m,52.14,1286.47,-0.5,52.14,1286.47,73.4,1926.2,0.46,12.38,Strategy 2.5.150,IS
634,USDJPY,Buy,25.05.2023 14:00:00,139.595,0.1,25.05.2023 23:45:00,140.053,9h 45m,32.2,1318.67,-0.5,32.2,1318.67,45.8,1972,0.29,12.67,Strategy 2.5.150,IS
636,USDJPY,Buy,26.05.2023 03:30:00,140.06,0.1,26.05.2023 23:45:00,140.625,20h 15m,39.68,1358.35,-0.5,39.68,1358.35,56.5,2028.5,0.35,13.02,Strategy 2.5.150,IS
638,USDJPY,Buy,29.05.2023 01:45:00,140.731,0.1,29.05.2023 23:45:00,140.45,22h 0m,-20.51,1337.84,-0.5,-20.51,1337.84,-28.1,2000.4,-0.18,12.84,Strategy 2.5.150,IS
640,USDJPY,Buy,30.05.2023 07:00:00,140.244,0.1,30.05.2023 13:02:40,140.094,6h 2m,-11.21,1326.63,-0.5,-11.21,1326.63,-15,1985.4,-0.1,12.74,sl 140.094,IS
642,USDJPY,Buy,31.05.2023 02:45:00,139.793,0.1,31.05.2023 20:39:40,139.497,17h 54m,-21.72,1304.91,-0.5,-21.72,1304.91,-29.6,1955.8,-0.19,12.55,sl 139.497,IS
644,USDJPY,Buy,01.06.2023 03:45:00,139.293,0.1,01.06.2023 15:55:40,139.129,12h 10m,-12.29,1292.62,-0.5,-12.29,1292.62,-16.4,1939.4,-0.11,12.44,sl 139.129,IS
646,USDJPY,Buy,05.06.2023 01:15:00,140.022,0.1,05.06.2023 17:00:40,139.621,15h 45m,-29.22,1263.4,-0.5,-29.22,1263.4,-40.1,1899.3,-0.26,12.18,sl 139.621,IS
648,USDJPY,Buy,07.06.2023 20:00:00,140.186,0.1,07.06.2023 23:45:00,140.153,3h 45m,-2.85,1260.55,-0.5,-2.85,1260.55,-3.3,1896,-0.03,12.16,Strategy 2.5.150,IS
650,USDJPY,Buy,08.06.2023 04:30:00,140.085,0.1,08.06.2023 23:45:00,138.922,19h 15m,-84.22,1176.33,-0.5,-84.22,1176.33,-116.3,1779.7,-0.75,11.41,Strategy 2.5.150,IS
652,USDJPY,Buy,13.06.2023 04:00:00,139.646,0.1,13.06.2023 23:45:00,140.241,19h 45m,41.93,1218.26,-0.5,41.93,1218.26,59.5,1839.2,0.38,11.78,Strategy 2.5.150,IS
654,USDJPY,Buy,14.06.2023 08:30:00,140.123,0.1,14.06.2023 17:24:40,139.379,8h 54m,-53.88,1164.38,-0.5,-53.88,1164.38,-74.4,1764.8,-0.48,11.3,sl 139.379,IS
656,USDJPY,Buy,15.06.2023 05:45:00,141.023,0.1,15.06.2023 16:00:40,140.649,10h 15m,-27.09,1137.29,-0.5,-27.09,1137.29,-37.4,1727.4,-0.24,11.06,sl 140.649,IS
658,USDJPY,Buy,16.06.2023 06:00:00,140.685,0.1,16.06.2023 18:43:40,141.835,12h 43m,80.58,1217.87,-0.5,80.58,1217.87,115,1842.4,0.72,11.78,tp 141.835,IS
660,USDJPY,Buy,19.06.2023 09:00:00,141.655,0.1,19.06.2023 23:45:00,141.978,14h 45m,22.25,1240.12,-0.5,22.25,1240.12,32.3,1874.7,0.2,11.98,Strategy 2.5.150,IS
662,USDJPY,Buy,20.06.2023 07:45:00,141.892,0.1,20.06.2023 15:04:40,141.317,7h 19m,-41.19,1198.93,-0.5,-41.19,1198.93,-57.5,1817.2,-0.37,11.62,sl 141.317,IS
