strategy_id,trade_count,profit_factor,net_profit,robustness_score,portfolio_fit_score,diversification_score,regime_dependency_score,correlation_penalty,recommended_lot_size,max_safe_lot_size,recommended_risk_budget,selection_status,final_score,selection_reason_codes
USDCHF_53_6.47.153_BOTH_M15,537,1.164079061152265,1189.67,0.8,0.7131108023213512,0.926176991166212,0.5043405696381629,0.040509897551261,0.1,0.2,VERY_LOW,WATCHLIST,0.6322342635040781,RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
USDCHF_55_6.23.134_BUY_M15,537,1.1635213578256989,911.02,0.8,0.7200495556714573,0.940196662249986,0.4907132915373995,0.0301029139896686,0.2,0.3,VERY_LOW,WATCHLIST,0.6436643770178605,RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
USDJPY_37_0.18430_BUY_M15,1138,1.261757433645724,8198.18,1.0,0.7086923065943881,0.9182609038218752,0.4880964537876573,0.0627077911614079,0.1,,,SHADOW_ONLY,0.7323664230582362,NO_SAFE_LOT|RISK_BUDGET_MISSING|HAS_FORBIDDEN_REGIMES
USDJPY_38_1.35.168_BUY_M15,363,1.4605128590059957,1963.24,0.8,0.7087386905432639,0.9173425895278458,0.5354129371418105,0.0364974067421327,0.3,0.4,LOW,APPROVED,0.7109043277496434,HAS_FORBIDDEN_REGIMES
USDJPY_39_6.27.190_BUY_M15,1727,1.3452159532589196,22168.94,1.0,0.700193811403657,0.8996860504267142,0.49244563187047075,0.0796565193144875,0.1,,,SHADOW_ONLY,0.7489551196242248,NO_SAFE_LOT|RISK_BUDGET_MISSING|HAS_FORBIDDEN_REGIMES
USDJPY_40_2.4.138_BUY_M15,585,1.3340811820423135,2725.01,0.8,0.701643198837584,0.9031411266644312,0.5371322374996,0.0744902386189917,0.1,0.2,VERY_LOW,WATCHLIST,0.6638388131827625,RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
USDJPY_41_2.5.172_BUY_M15,748,1.3038390724568614,3264.21,1.0,0.7010621471096092,0.9020411875920432,0.515967811687964,0.0576918352834301,0.1,0.2,VERY_LOW,WATCHLIST,0.7093477944671843,RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
USDJPY_57_4.8.181_BUY_M15,953,1.174520291713757,2703.89,0.8,0.6999344876867306,0.8997465399791628,0.6180698889530065,0.0741587428049976,0.1,,,SHADOW_ONLY,0.6375525825241392,NO_SAFE_LOT|REGIME_DEPENDENCY_HIGH|RISK_BUDGET_MISSING|HAS_FORBIDDEN_REGIMES
USOIL.cash_42_1.25.121_BUY_M15,837,1.194555900438253,462.5799999999999,0.8,0.7221433332898667,0.9440901900895444,0.5277409163026757,0.0291454765546349,0.8,0.9,MEDIUM,APPROVED,0.6905425489393324,HAS_FORBIDDEN_REGIMES
USOIL.cash_43_5.11.112_BUY_M15,547,1.141819930562072,241.82,0.6000000000000001,0.7199396005249354,0.9396548615459832,0.5266156330741277,0.0099107883349777,0.8,0.9,MEDIUM,WATCHLIST,0.6275100304337652,HAS_FORBIDDEN_REGIMES
USOIL.cash_44_6.17.127_BUY_M15,689,1.2029119299448738,384.6499999999999,1.0,0.7166858881044984,0.9331814641023696,0.39319770922752517,0.0127059364311839,1.3,1.4,MEDIUM,APPROVED,0.7817128816038927,HAS_FORBIDDEN_REGIMES
USOIL.cash_54_4.18.190_BOTH_M15,689,1.2029119299448738,384.6499999999999,1.0,0.7166858881044984,0.9331814641023696,0.39319770922752517,0.0127059364311839,1.3,1.4,MEDIUM,APPROVED,0.7817128816038927,HAS_FORBIDDEN_REGIMES
XAUUSD_45_2.13.130_BUY_M15,1570,1.2551732598995429,17637.539999999997,1.0,0.7295755686519039,0.9603869073889616,0.42217535399600226,0.0207659691974046,0.1,,,SHADOW_ONLY,0.7475594983556467,NO_SAFE_LOT|RISK_BUDGET_MISSING|HAS_FORBIDDEN_REGIMES
XAUUSD_58_5.6.136_BUY_M15,1190,1.2115375984323649,9992.079999999998,1.0,0.7331309981099251,0.965254574524182,0.4348999495012381,0.0141582472101401,0.1,,,SHADOW_ONLY,0.7361597628716139,NO_SAFE_LOT|RISK_BUDGET_MISSING|HAS_FORBIDDEN_REGIMES
