Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
1306,EURGBP,Sell,22.02.2024 02:00:00,0.85616,0.1,22.02.2024 23:45:00,0.85492,21h 45m,15.2,714.46,-0.5,15.2,714.46,12.4,838.6,0.14,7.11,Strategy_2_36_141,IS
1308,EURGBP,Buy,23.02.2024 02:00:00,0.85496,0.1,23.02.2024 16:45:40,0.8531,14h 45m,-24.11,690.35,-0.5,-24.11,690.35,-18.6,820,-0.23,6.89,sl 0.85310,IS
1310,EURGBP,Buy,26.02.2024 02:00:00,0.85389,0.1,26.02.2024 02:59:20,0.85426,59m 20s,4.19,694.54,-0.5,4.19,694.54,3.7,823.7,0.04,6.92,tp 0.85426,IS
1312,EURGBP,Sell,27.02.2024 03:00:00,0.85552,0.1,27.02.2024 23:45:00,0.8549,20h 45m,7.37,701.91,-0.5,7.37,701.91,6.2,829.9,0.07,6.99,Strategy_2_36_141,IS
1314,EURGBP,Buy,28.02.2024 02:00:00,0.85502,0.1,28.02.2024 04:17:40,0.85528,2h 17m,2.8,704.71,-0.5,2.8,704.71,2.6,832.5,0.03,7.02,tp 0.85528,IS
1316,EURGBP,Sell,29.02.2024 06:15:00,0.85538,0.1,29.02.2024 23:45:00,0.85594,17h 30m,-7.57,697.14,-0.5,-7.57,697.14,-5.6,826.9,-0.07,6.95,Strategy_2_36_141,IS
1318,EURGBP,Buy,01.03.2024 02:00:00,0.85578,0.1,01.03.2024 02:20:40,0.85607,20m 40s,3.16,700.3,-0.5,3.16,700.3,2.9,829.8,0.03,6.98,tp 0.85607,IS
1320,EURGBP,Sell,04.03.2024 03:30:00,0.85637,0.1,04.03.2024 23:45:00,0.85545,20h 15m,11.18,711.48,-0.5,11.18,711.48,9.2,839,0.1,7.08,Strategy_2_36_141,IS
1322,EURGBP,Buy,05.03.2024 02:00:00,0.85541,0.1,05.03.2024 07:57:40,0.85568,5h 57m,2.92,714.4,-0.5,2.92,714.4,2.7,841.7,0.03,7.11,tp 0.85568,IS
1324,EURGBP,Buy,06.03.2024 02:00:00,0.85452,0.1,06.03.2024 02:39:59,0.85478,39m 59s,2.8,717.2,-0.5,2.8,717.2,2.6,844.3,0.03,7.14,tp 0.85478,IS
1326,EURGBP,Sell,07.03.2024 11:30:00,0.85503,0.1,07.03.2024 15:40:40,0.85268,4h 10m,29.47,746.67,-0.5,29.47,746.67,23.5,867.8,0.27,7.41,tp 0.85268,IS
1328,EURGBP,Buy,08.03.2024 11:15:00,0.85279,0.1,08.03.2024 15:23:40,0.85121,4h 8m,-20.8,725.87,-0.5,-20.8,725.87,-15.8,852,-0.19,7.22,sl 0.85121,IS
1330,EURGBP,Buy,11.03.2024 02:00:00,0.8513,0.1,11.03.2024 10:12:40,0.85164,8h 12m,3.87,729.74,-0.5,3.87,729.74,3.4,855.4,0.04,7.25,tp 0.85164,IS
1332,EURGBP,Sell,13.03.2024 06:00:00,0.854,0.1,13.03.2024 23:45:00,0.85564,17h 45m,-21.48,708.26,-0.5,-21.48,708.26,-16.4,839,-0.2,7.05,Strategy_2_36_141,IS
1334,EURGBP,Sell,14.03.2024 03:15:00,0.85556,0.1,14.03.2024 23:45:00,0.85356,20h 30m,25.01,733.27,-0.5,25.01,733.27,20,859,0.23,7.29,Strategy_2_36_141,IS
1336,EURGBP,Buy,15.03.2024 02:00:00,0.85364,0.1,15.03.2024 02:44:40,0.8539,44m 40s,2.81,736.08,-0.5,2.81,736.08,2.6,861.6,0.03,7.31,tp 0.85390,IS
1338,EURGBP,Sell,18.03.2024 03:15:00,0.85506,0.1,18.03.2024 23:45:00,0.85426,20h 30m,9.68,745.76,-0.5,9.68,745.76,8,869.6,0.09,7.4,Strategy_2_36_141,IS
1340,EURGBP,Buy,19.03.2024 02:00:00,0.8543,0.1,19.03.2024 03:21:40,0.85454,1h 21m,2.55,748.31,-0.5,2.55,748.31,2.4,872,0.02,7.43,tp 0.85454,IS
1342,EURGBP,Buy,20.03.2024 02:00:00,0.85414,0.1,20.03.2024 04:39:40,0.85437,2h 39m,2.42,750.73,-0.5,2.42,750.73,2.3,874.3,0.02,7.45,tp 0.85437,IS
1344,EURGBP,Sell,21.03.2024 02:00:00,0.85452,0.1,21.03.2024 23:45:00,0.85816,21h 45m,-46.56,704.17,-0.5,-46.56,704.17,-36.4,837.9,-0.43,7.02,Strategy_2_36_141,IS
1346,EURGBP,Sell,22.03.2024 05:15:00,0.85791,0.1,22.03.2024 23:45:00,0.85787,18h 30m,0,704.17,-0.5,0,704.17,0.4,838.3,0,7.02,Strategy_2_36_141,IS
1348,EURGBP,Sell,25.03.2024 04:30:00,0.8576,0.1,25.03.2024 23:45:00,0.85758,19h 15m,-0.25,703.92,-0.5,-0.25,703.92,0.2,838.5,-0,7.01,Strategy_2_36_141,IS
1350,EURGBP,Buy,26.03.2024 02:00:00,0.85757,0.1,26.03.2024 08:54:20,0.85782,6h 54m,2.66,706.58,-0.5,2.66,706.58,2.5,841,0.02,7.04,tp 0.85782,IS
1352,EURGBP,Sell,27.03.2024 03:30:00,0.858,0.1,27.03.2024 23:45:00,0.85668,20h 15m,16.18,722.76,-0.5,16.18,722.76,13.2,854.2,0.15,7.19,Strategy_2_36_141,IS
1354,EURGBP,Buy,28.03.2024 02:00:00,0.85706,0.1,28.03.2024 13:00:40,0.8555,11h 0m,-20.14,702.62,-0.5,-20.14,702.62,-15.6,838.6,-0.19,7,sl 0.85550,IS
1356,EURGBP,Buy,29.03.2024 02:00:00,0.85471,0.1,29.03.2024 10:53:40,0.85308,8h 53m,-21.08,681.54,-0.5,-21.08,681.54,-16.3,822.3,-0.2,6.81,sl 0.85308,IS
1358,EURGBP,Buy,01.04.2024 04:45:00,0.85434,0.1,01.04.2024 10:57:40,0.85466,6h 12m,3.54,685.08,-0.5,3.54,685.08,3.2,825.5,0.03,6.84,tp 0.85466,IS
1360,EURGBP,Sell,02.04.2024 03:00:00,0.85582,0.1,02.04.2024 23:45:00,0.85618,20h 45m,-5.03,680.05,-0.5,-5.03,680.05,-3.6,821.9,-0.05,6.79,Strategy_2_36_141,IS
1362,EURGBP,Sell,03.04.2024 04:00:00,0.85645,0.1,03.04.2024 23:45:00,0.85652,19h 45m,-1.39,678.66,-0.5,-1.39,678.66,-0.7,821.2,-0.01,6.78,Strategy_2_36_141,IS
1364,EURGBP,Sell,04.04.2024 03:15:00,0.85663,0.1,04.04.2024 23:45:00,0.85725,20h 30m,-8.34,670.32,-0.5,-8.34,670.32,-6.2,815,-0.08,6.7,Strategy_2_36_141,IS
1366,EURGBP,Sell,05.04.2024 03:15:00,0.85721,0.1,05.04.2024 23:45:00,0.85763,20h 30m,-5.81,664.51,-0.5,-5.81,664.51,-4.2,810.8,-0.05,6.65,Strategy_2_36_141,IS
1368,EURGBP,Sell,08.04.2024 04:00:00,0.85811,0.1,08.04.2024 23:45:00,0.85812,19h 45m,-0.63,663.88,-0.5,-0.63,663.88,-0.1,810.7,-0.01,6.64,Strategy_2_36_141,IS
1370,EURGBP,Sell,09.04.2024 03:00:00,0.85813,0.1,09.04.2024 16:30:40,0.85641,13h 30m,21.35,685.23,-0.5,21.35,685.23,17.2,827.9,0.2,6.84,tp 0.85641,IS
1372,EURGBP,Buy,10.04.2024 02:00:00,0.85665,0.1,10.04.2024 13:16:20,0.8553,11h 16m,-17.64,667.59,-0.5,-17.64,667.59,-13.5,814.4,-0.17,6.67,sl 0.85530,IS
1374,EURGBP,Buy,11.04.2024 12:45:00,0.85601,0.1,11.04.2024 15:16:40,0.8546,2h 31m,-18.18,649.41,-0.5,-18.18,649.41,-14.1,800.3,-0.17,6.5,sl 0.85460,IS
1376,EURGBP,Buy,12.04.2024 02:00:00,0.85451,0.1,12.04.2024 11:12:40,0.85306,9h 12m,-18.65,630.76,-0.5,-18.65,630.76,-14.5,785.8,-0.18,6.33,sl 0.85306,IS
1378,EURGBP,Buy,15.04.2024 14:00:00,0.85317,0.1,15.04.2024 14:42:40,0.85353,42m 40s,4,634.76,-0.5,4,634.76,3.6,789.4,0.04,6.37,tp 0.85353,IS
1380,EURGBP,Buy,16.04.2024 02:00:00,0.8537,0.1,16.04.2024 04:16:40,0.85395,2h 16m,2.61,637.37,-0.5,2.61,637.37,2.5,791.9,0.02,6.39,tp 0.85395,IS
1382,EURGBP,Sell,17.04.2024 04:00:00,0.85459,0.1,17.04.2024 09:35:40,0.8524,5h 35m,26.78,664.15,-0.5,26.78,664.15,21.9,813.8,0.25,6.64,tp 0.85240,IS
1384,EURGBP,Sell,18.04.2024 10:30:00,0.85703,0.1,18.04.2024 23:45:00,0.85572,13h 15m,15.79,679.94,-0.5,15.79,679.94,13.1,826.9,0.15,6.79,Strategy_2_36_141,IS
1386,EURGBP,Buy,19.04.2024 02:00:00,0.85584,0.1,19.04.2024 03:53:40,0.85613,1h 53m,3.1,683.04,-0.5,3.1,683.04,2.9,829.8,0.03,6.82,tp 0.85613,IS
1388,EURGBP,Sell,23.04.2024 10:45:00,0.86385,0.1,23.04.2024 14:24:40,0.86144,3h 39m,29.34,712.38,-0.5,29.34,712.38,24.1,853.9,0.27,7.1,tp 0.86144,IS
1390,EURGBP,Buy,24.04.2024 02:00:00,0.8597,0.1,24.04.2024 23:45:00,0.85838,21h 45m,-16.95,695.43,-0.5,-16.95,695.43,-13.2,840.7,-0.16,6.94,Strategy_2_36_141,IS
1392,EURGBP,Buy,25.04.2024 02:00:00,0.85861,0.1,25.04.2024 04:01:20,0.85888,2h 1m,2.87,698.3,-0.5,2.87,698.3,2.7,843.4,0.03,6.96,tp 0.85888,IS
1394,EURGBP,Buy,26.04.2024 02:00:00,0.85756,0.1,26.04.2024 03:20:40,0.85785,1h 20m,3.13,701.43,-0.5,3.13,701.43,2.9,846.3,0.03,6.99,tp 0.85785,IS
1396,EURGBP,Buy,29.04.2024 02:00:00,0.85609,0.1,29.04.2024 16:34:40,0.85401,14h 34m,-26.55,674.88,-0.5,-26.55,674.88,-20.8,825.5,-0.25,6.74,sl 0.85401,IS
1398,EURGBP,Buy,30.04.2024 02:00:00,0.8533,0.1,30.04.2024 03:54:20,0.85354,1h 54m,2.51,677.39,-0.5,2.51,677.39,2.4,827.9,0.02,6.77,tp 0.85354,IS
1400,EURGBP,Buy,01.05.2024 06:15:00,0.85412,0.1,01.05.2024 06:47:40,0.85434,32m 40s,2.24,679.63,-0.5,2.24,679.63,2.2,830.1,0.02,6.79,tp 0.85434,IS
1402,EURGBP,Sell,02.05.2024 10:00:00,0.85588,0.1,02.05.2024 23:45:00,0.85566,13h 45m,2.26,681.89,-0.5,2.26,681.89,2.2,832.3,0.02,6.81,Strategy_2_36_141,IS
1404,EURGBP,Sell,03.05.2024 03:15:00,0.85571,0.1,03.05.2024 23:45:00,0.85783,20h 30m,-27.1,654.79,-0.5,-27.1,654.79,-21.2,811.1,-0.25,6.56,Strategy_2_36_141,IS
1406,EURGBP,Sell,06.05.2024 03:15:00,0.85768,0.1,06.05.2024 23:45:00,0.85734,20h 30m,3.77,658.56,-0.5,3.77,658.56,3.4,814.5,0.04,6.59,Strategy_2_36_141,IS
1408,EURGBP,Sell,07.05.2024 02:45:00,0.85732,0.1,07.05.2024 23:45:00,0.85984,21h 0m,-32.02,626.54,-0.5,-32.02,626.54,-25.2,789.3,-0.3,6.29,Strategy_2_36_141,IS
1410,EURGBP,Sell,08.05.2024 15:15:00,0.86094,0.1,08.05.2024 23:45:00,0.86,8h 30m,11.25,637.79,-0.5,11.25,637.79,9.4,798.7,0.11,6.4,Strategy_2_36_141,IS
1412,EURGBP,Sell,09.05.2024 02:45:00,0.86016,0.1,09.05.2024 23:45:00,0.861,21h 0m,-11.02,626.77,-0.5,-11.02,626.77,-8.4,790.3,-0.1,6.29,Strategy_2_36_141,IS
1414,EURGBP,Buy,10.05.2024 10:15:00,0.85994,0.1,10.05.2024 10:38:40,0.86024,23m 40s,3.26,630.03,-0.5,3.26,630.03,3,793.3,0.03,6.32,tp 0.86024,IS
1416,EURGBP,Buy,13.05.2024 02:00:00,0.8601,0.1,13.05.2024 10:07:40,0.86035,8h 7m,2.63,632.66,-0.5,2.63,632.66,2.5,795.8,0.02,6.35,tp 0.86035,IS
1418,EURGBP,Buy,14.05.2024 02:00:00,0.8592,0.1,14.05.2024 09:00:40,0.85939,7h 0m,1.88,634.54,-0.5,1.88,634.54,1.9,797.7,0.02,6.37,tp 0.85939,IS
1420,EURGBP,Buy,15.05.2024 02:00:00,0.85924,0.1,15.05.2024 04:52:40,0.85943,2h 52m,1.89,636.43,-0.5,1.89,636.43,1.9,799.6,0.02,6.38,tp 0.85943,IS
1422,EURGBP,Buy,16.05.2024 02:00:00,0.85818,0.1,16.05.2024 14:32:40,0.85846,12h 32m,3.04,639.47,-0.5,3.04,639.47,2.8,802.4,0.03,6.41,tp 0.85846,IS
1424,EURGBP,Buy,17.05.2024 02:00:00,0.85772,0.1,17.05.2024 03:57:00,0.85788,1h 57m,1.53,641,-0.5,1.53,641,1.6,804,0.01,6.43,tp 0.85788,IS
1426,EURGBP,Buy,20.05.2024 02:00:00,0.85595,0.1,20.05.2024 06:23:40,0.85622,4h 23m,2.93,643.93,-0.5,2.93,643.93,2.7,806.7,0.03,6.46,tp 0.85622,IS
1428,EURGBP,Buy,21.05.2024 02:00:00,0.85449,0.1,21.05.2024 11:08:40,0.85469,9h 8m,2.04,645.97,-0.5,2.04,645.97,2,808.7,0.02,6.47,tp 0.85469,IS
1430,EURGBP,Buy,22.05.2024 02:00:00,0.85417,0.1,22.05.2024 09:00:40,0.85295,7h 0m,-16.01,629.96,-0.5,-16.01,629.96,-12.2,796.5,-0.15,6.32,sl 0.85295,IS
1432,EURGBP,Buy,23.05.2024 02:00:00,0.851,0.1,23.05.2024 11:08:40,0.85121,9h 8m,2.17,632.13,-0.5,2.17,632.13,2.1,798.6,0.02,6.34,tp 0.85121,IS
1434,EURGBP,Buy,27.05.2024 02:00:00,0.85163,0.1,27.05.2024 12:54:40,0.85186,10h 54m,2.43,634.56,-0.5,2.43,634.56,2.3,800.9,0.02,6.37,tp 0.85186,IS
1436,EURGBP,Buy,28.05.2024 02:00:00,0.85039,0.1,28.05.2024 03:49:40,0.8506,1h 49m,2.18,636.74,-0.5,2.18,636.74,2.1,803,0.02,6.39,tp 0.85060,IS
1438,EURGBP,Buy,29.05.2024 09:15:00,0.85063,0.1,29.05.2024 11:01:40,0.84966,1h 46m,-12.88,623.86,-0.5,-12.88,623.86,-9.7,793.3,-0.12,6.27,sl 0.84966,IS
1440,EURGBP,Buy,31.05.2024 05:45:00,0.85033,0.1,31.05.2024 07:40:40,0.85051,1h 55m,1.79,625.65,-0.5,1.79,625.65,1.8,795.1,0.02,6.28,tp 0.85051,IS
1442,EURGBP,Sell,03.06.2024 02:00:00,0.85151,0.1,03.06.2024 23:45:00,0.85146,21h 45m,0.14,625.79,-0.5,0.14,625.79,0.5,795.6,0,6.28,Strategy_2_36_141,IS
1444,EURGBP,Buy,04.06.2024 02:00:00,0.85148,0.1,04.06.2024 03:44:40,0.85172,1h 44m,2.58,628.37,-0.5,2.58,628.37,2.4,798,0.02,6.31,tp 0.85172,IS
1446,EURGBP,Sell,05.06.2024 03:00:00,0.85194,0.1,05.06.2024 23:29:40,0.84994,20h 29m,25.08,653.45,-0.5,25.08,653.45,20,818,0.24,6.55,tp 0.84994,IS
1448,EURGBP,Buy,06.06.2024 02:00:30,0.85011,0.1,06.06.2024 04:19:40,0.85032,2h 19m,2.19,655.64,-0.5,2.19,655.64,2.1,820.1,0.02,6.57,tp 0.85032,IS
1450,EURGBP,Sell,07.06.2024 04:30:00,0.85159,0.1,07.06.2024 17:21:40,0.8501,12h 51m,18.46,674.1,-0.5,18.46,674.1,14.9,835,0.17,6.74,tp 0.85010,IS
1452,EURGBP,Buy,10.06.2024 02:00:00,0.84697,0.1,10.06.2024 17:17:40,0.84455,15h 17m,-31.26,642.84,-0.5,-31.26,642.84,-24.2,810.8,-0.29,6.45,sl 0.84455,IS
1454,EURGBP,Buy,11.06.2024 02:00:00,0.8457,0.1,11.06.2024 09:00:40,0.84595,7h 0m,2.69,645.53,-0.5,2.69,645.53,2.5,813.3,0.03,6.47,tp 0.84595,IS
1456,EURGBP,Buy,12.06.2024 02:00:00,0.84319,0.1,12.06.2024 14:30:40,0.84343,12h 30m,2.56,648.09,-0.5,2.56,648.09,2.4,815.7,0.02,6.5,tp 0.84343,IS
