[INFO] terminal64.exe = C:\Users\Leon\Desktop\MetaTrader 5 - Kopie - Kopie - Kopie (17) - Kopie - Kopie - Kopie - Kopie\terminal64.exe
[INFO] ROOT = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO
[INFO] OUTPUT_DIR = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715324
[OK] Connected: 1512715324 | $200k FTMO Free Trial 2-Step | FTMO-Demo
[OK] Backfill done. Folder: C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715324
[INFO] Polling every 60s. Stop with CTRL+C.
[LOOP] 2026-03-18T11:41:40+00:00 | no new closed trades
[LOOP] 2026-03-18T11:42:40+00:00 | no new closed trades
[LOOP] 2026-03-18T11:43:40+00:00 | no new closed trades
[LOOP] 2026-03-18T11:44:40+00:00 | no new closed trades
[LOOP] 2026-03-18T11:45:40+00:00 | no new closed trades
[LOOP] 2026-03-18T11:46:40+00:00 | no new closed trades
[LOOP] 2026-03-18T11:47:40+00:00 | no new closed trades
[LOOP] 2026-03-18T11:48:40+00:00 | no new closed trades
[LOOP] 2026-03-18T11:49:40+00:00 | no new closed trades
[LOOP] 2026-03-18T11:50:40+00:00 | no new closed trades
[LOOP] 2026-03-18T11:51:40+00:00 | no new closed trades
[LOOP] 2026-03-18T11:52:40+00:00 | no new closed trades
[LOOP] 2026-03-18T11:53:40+00:00 | no new closed trades
[LOOP] 2026-03-18T11:54:40+00:00 | no new closed trades
[LOOP] 2026-03-18T11:55:40+00:00 | no new closed trades
[LOOP] 2026-03-18T11:56:40+00:00 | no new closed trades
[LOOP] 2026-03-18T11:57:40+00:00 | no new closed trades
[LOOP] 2026-03-18T11:58:40+00:00 | no new closed trades
[LOOP] 2026-03-18T11:59:40+00:00 | no new closed trades
[LOOP] 2026-03-18T12:00:40+00:00 | no new closed trades
