[INFO] terminal64.exe = C:\Users\Leon\Desktop\MetaTrader 5 - Kopie - Kopie - Kopie (17) - Kopie - Kopie - Kopie - Kopie\terminal64.exe
[INFO] ROOT = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO
[INFO] OUTPUT_DIR = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715324
[OK] Connected: 1512715324 | $200k FTMO Free Trial 2-Step | FTMO-Demo
[CLOSED] +25 -> C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715324\closed_trades.csv
[OK] Backfill done. Folder: C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715324
[INFO] Polling every 60s. Stop with CTRL+C.
[LOOP] 2026-03-12T10:40:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:41:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:42:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:43:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:44:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:45:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:46:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:47:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:48:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:49:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:50:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:51:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:52:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:53:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:54:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:55:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:56:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:57:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:58:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:59:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:00:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:01:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:02:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:03:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:04:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:05:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:06:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:07:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:08:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:09:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:10:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:11:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:12:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:13:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:14:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:15:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:16:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:17:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:18:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:19:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:20:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:21:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:22:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:23:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:24:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:25:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:26:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:27:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:28:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:29:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:30:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:31:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:32:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:33:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:34:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:35:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:36:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:37:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:38:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:39:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:40:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:41:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:42:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:43:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:44:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:45:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:46:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:47:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:48:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:49:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:50:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:51:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:52:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:53:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:54:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:55:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:56:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:57:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:58:26+00:00 | no new closed trades
[LOOP] 2026-03-12T11:59:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:00:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:01:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:02:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:03:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:04:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:05:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:06:26+00:00 | no new closed trades
[LOOP] 2026-03-12T12:07:26+00:00 | no new closed trades
