[INFO] terminal64.exe = C:\Users\Leon\Desktop\MetaTrader 5 - Kopie - Kopie - Kopie (17) - Kopie - Kopie - Kopie - Kopie\terminal64.exe
[INFO] ROOT = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO
[INFO] OUTPUT_DIR = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715324_DEMO
[OK] Connected: 1512715324 | $200k FTMO Free Trial 2-Step | FTMO-Demo | DEMO
[LOOP] 2026-03-21T10:19:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:20:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:21:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:22:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:23:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:24:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:25:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:26:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:27:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:28:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:29:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:30:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:31:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:32:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:33:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:34:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:35:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:36:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:37:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:38:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:39:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:40:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:41:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:42:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:43:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:44:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
