[INFO] terminal64.exe = C:\Users\Leon\Desktop\Terminals\MetaTrader 5 - Kopie - Kopie - Kopie (8) - Kopie - Kopie - Kopie - Kopie\terminal64.exe
[INFO] ROOT = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO
[INFO] OUTPUT_DIR = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_540136824_LIVE
[OK] Connected: 540136824 | FTMO Challenge USD | FTMO-Server4 | LIVE
[OK] Backfill done. Folder: C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_540136824_LIVE | account_type=LIVE | server=FTMO-Server4
[INFO] Polling every 60s. Stop with CTRL+C.
[LOOP] 2026-03-23T17:10:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:11:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:12:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:13:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:14:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:15:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:16:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:17:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:18:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:19:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:20:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:21:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:22:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:23:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:24:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:25:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:26:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:27:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:28:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:29:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:30:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:31:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:32:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:33:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
