[INFO] terminal64.exe = C:\Users\Leon\Desktop\MetaTrader 5 - Kopie - Kopie - Kopie (19) - Kopie - Kopie - Kopie - Kopie - Kopie - Kopie - Kopie\terminal64.exe
[INFO] ROOT = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO
[INFO] OUTPUT_DIR = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_530164208_LIVE
[OK] Connected: 530164208 | FTMO Challenge USD | FTMO-Server3 | LIVE
[OK] Backfill done. Folder: C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_530164208_LIVE | account_type=LIVE | server=FTMO-Server3
[OK] DB rows: 526
[LOOP] 2026-03-21T07:03:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:04:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:05:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:06:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:07:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:08:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:09:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:10:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:11:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:12:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:13:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:14:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:15:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:16:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:17:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:18:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:19:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:20:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:21:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:22:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:23:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:24:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:25:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:26:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:27:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:28:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:29:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:30:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:31:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:32:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:33:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:34:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:35:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:36:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:37:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:38:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:39:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:40:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:41:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:42:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:43:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:44:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:45:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:46:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:47:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:48:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:49:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:50:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:51:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:52:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:53:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:54:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:55:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:56:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:57:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:58:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:59:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T08:00:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T08:01:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T08:02:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T08:03:57+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
