[INFO] terminal64.exe = C:\Users\Leon\Desktop\MetaTrader 5 - Kopie - Kopie - Kopie (16) - Kopie - Kopie - Kopie - Kopie\terminal64.exe
[INFO] ROOT = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO
[INFO] OUTPUT_DIR = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715329
[OK] Connected: 1512715329 | $200k FTMO Free Trial 2-Step | FTMO-Demo
[CLOSED] +1 -> C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715329\closed_trades.db
[OK] Backfill done. Folder: C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715329
[INFO] Polling every 60s. Stop with CTRL+C.
[LOOP] 2026-03-18T13:38:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:39:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:40:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:41:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:42:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:43:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:44:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:45:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:46:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:47:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:48:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:49:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:50:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:51:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:52:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:53:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:54:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:55:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:56:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:57:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:58:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:59:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:00:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:01:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:02:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:03:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:04:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:05:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:06:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:07:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:08:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:09:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:10:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:11:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:12:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:13:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:14:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:15:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:16:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:17:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:18:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:19:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:20:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:21:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:22:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:23:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:24:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:25:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:26:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:27:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:28:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:29:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:30:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:31:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:32:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:33:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:34:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:35:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:36:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:37:39+00:00 | no new closed trades
[LOOP] 2026-03-18T14:38:39+00:00 | no new closed trades
